Correct	#Resets	#OQs	#EQs	#symbols	#BBresets	#BBsymbols	seconds	Algorithm	CEprocessing	Teacher	BB	fileName
1	27	27	2	105	0	0	0.017011	L*	addAllPrefixesToS	TeacherDFSM		DFA_R4_ADS.fsm
1	29	29	3	94	0	0	0.009003	L*	addAllSuffixesAfterLastStateToE	TeacherDFSM		DFA_R4_ADS.fsm
1	27	27	3	87	0	0	0.008506	L*	addSuffix1by1ToE	TeacherDFSM		DFA_R4_ADS.fsm
1	31	31	3	97	0	0	0.011507	L*	addSuffixAfterLastStateToE	TeacherDFSM		DFA_R4_ADS.fsm
1	33	33	3	104	0	0	0.006505	L*	addSuffixToE_binarySearch	TeacherDFSM		DFA_R4_ADS.fsm
1	29	29	3	103	0	0	0.007005	DT		TeacherDFSM		DFA_R4_ADS.fsm
1	40	40	1	134	0	0	0.007102	OP	AllGlobally	TeacherDFSM		DFA_R4_ADS.fsm
1	40	40	1	134	0	0	0.012008	OP	OneGlobally	TeacherDFSM		DFA_R4_ADS.fsm
1	39	39	1	132	0	0	0.008006	OP	OneLocally	TeacherDFSM		DFA_R4_ADS.fsm
1	23	23	3	74	0	0	0.011507	TTT		TeacherDFSM		DFA_R4_ADS.fsm
1	19	19	1	77	0	0	0.010509	Quotient		TeacherDFSM		DFA_R4_ADS.fsm
1	37	37	1	149	0	0	88.184861	GoodSplit	maxDistLen:2+EQ	TeacherDFSM		DFA_R4_ADS.fsm
1	15	29	1	64	0	0	2.721172	OTree	ExtraStates:1+EQ	TeacherDFSM		DFA_R4_ADS.fsm
1	27	27	2	105	0	0	0.010508	L*	addAllPrefixesToS	TeacherRL		DFA_R4_ADS.fsm
1	29	29	3	94	0	0	0.013509	L*	addAllSuffixesAfterLastStateToE	TeacherRL		DFA_R4_ADS.fsm
1	27	27	3	87	0	0	0.013512	L*	addSuffix1by1ToE	TeacherRL		DFA_R4_ADS.fsm
1	31	31	3	97	0	0	0.014008	L*	addSuffixAfterLastStateToE	TeacherRL		DFA_R4_ADS.fsm
1	33	33	3	104	0	0	0.012008	L*	addSuffixToE_binarySearch	TeacherRL		DFA_R4_ADS.fsm
1	29	29	3	103	0	0	0.005506	DT		TeacherRL		DFA_R4_ADS.fsm
1	40	40	1	134	0	0	0.008005	OP	AllGlobally	TeacherRL		DFA_R4_ADS.fsm
1	40	40	1	134	0	0	0.007005	OP	OneGlobally	TeacherRL		DFA_R4_ADS.fsm
1	39	39	1	132	0	0	0.007005	OP	OneLocally	TeacherRL		DFA_R4_ADS.fsm
1	23	23	3	74	0	0	0.006509	TTT		TeacherRL		DFA_R4_ADS.fsm
1	19	55	1	77	0	0	0.004003	Quotient		TeacherRL		DFA_R4_ADS.fsm
1	36	36	1	142	0	0	0.006504	GoodSplit	maxDistLen:2+EQ	TeacherRL		DFA_R4_ADS.fsm
1	15	29	1	64	0	0	0.006504	OTree	ExtraStates:1+EQ	TeacherRL		DFA_R4_ADS.fsm
1	43	27	2	71	43	141	0.040956	L*	addAllPrefixesToS	TeacherBB:SPY_method(ExtraStates:2)	BlackBoxDFSM	DFA_R4_ADS.fsm
1	53	29	3	70	53	139	0.020514	L*	addAllSuffixesAfterLastStateToE	TeacherBB:SPY_method(ExtraStates:2)	BlackBoxDFSM	DFA_R4_ADS.fsm
1	51	27	3	73	51	146	0.021014	L*	addSuffix1by1ToE	TeacherBB:SPY_method(ExtraStates:2)	BlackBoxDFSM	DFA_R4_ADS.fsm
1	55	31	3	70	55	139	0.020514	L*	addSuffixAfterLastStateToE	TeacherBB:SPY_method(ExtraStates:2)	BlackBoxDFSM	DFA_R4_ADS.fsm
1	57	33	3	70	57	139	0.020014	L*	addSuffixToE_binarySearch	TeacherBB:SPY_method(ExtraStates:2)	BlackBoxDFSM	DFA_R4_ADS.fsm
1	53	29	3	69	53	121	0.016010	DT		TeacherBB:SPY_method(ExtraStates:2)	BlackBoxDFSM	DFA_R4_ADS.fsm
1	51	40	1	68	51	167	0.012507	OP	AllGlobally	TeacherBB:SPY_method(ExtraStates:2)	BlackBoxDFSM	DFA_R4_ADS.fsm
1	51	40	1	68	51	167	0.013007	OP	OneGlobally	TeacherBB:SPY_method(ExtraStates:2)	BlackBoxDFSM	DFA_R4_ADS.fsm
1	50	39	1	68	50	167	0.012509	OP	OneLocally	TeacherBB:SPY_method(ExtraStates:2)	BlackBoxDFSM	DFA_R4_ADS.fsm
1	47	23	3	69	47	124	0.018511	TTT		TeacherBB:SPY_method(ExtraStates:2)	BlackBoxDFSM	DFA_R4_ADS.fsm
1	30	19	1	71	30	141	0.011007	Quotient		TeacherBB:SPY_method(ExtraStates:2)	BlackBoxDFSM	DFA_R4_ADS.fsm
1	48	37	1	78	48	231	0.014510	GoodSplit	maxDistLen:2+EQ	TeacherBB:SPY_method(ExtraStates:2)	BlackBoxDFSM	DFA_R4_ADS.fsm
1	26	29	1	71	26	152	0.016012	OTree	ExtraStates:1+EQ	TeacherBB:SPY_method(ExtraStates:2)	BlackBoxDFSM	DFA_R4_ADS.fsm
1	39	39	3	155	0	0	0.008004	L*	addAllPrefixesToS	TeacherDFSM		DFA_R4_HS.fsm
1	29	29	3	80	0	0	0.004503	L*	addAllSuffixesAfterLastStateToE	TeacherDFSM		DFA_R4_HS.fsm
1	27	27	3	75	0	0	0.005002	L*	addSuffix1by1ToE	TeacherDFSM		DFA_R4_HS.fsm
1	31	31	3	83	0	0	0.004503	L*	addSuffixAfterLastStateToE	TeacherDFSM		DFA_R4_HS.fsm
1	32	32	3	86	0	0	0.004503	L*	addSuffixToE_binarySearch	TeacherDFSM		DFA_R4_HS.fsm
1	27	27	3	83	0	0	0.002000	DT		TeacherDFSM		DFA_R4_HS.fsm
1	42	42	1	119	0	0	0.004003	OP	AllGlobally	TeacherDFSM		DFA_R4_HS.fsm
1	42	42	1	119	0	0	0.003502	OP	OneGlobally	TeacherDFSM		DFA_R4_HS.fsm
1	41	41	1	117	0	0	0.003503	OP	OneLocally	TeacherDFSM		DFA_R4_HS.fsm
1	22	22	3	59	0	0	0.003002	TTT		TeacherDFSM		DFA_R4_HS.fsm
1	19	19	1	69	0	0	0.002001	Quotient		TeacherDFSM		DFA_R4_HS.fsm
1	37	37	1	136	0	0	0.004503	GoodSplit	maxDistLen:2+EQ	TeacherDFSM		DFA_R4_HS.fsm
1	13	28	1	51	0	0	0.006504	OTree	ExtraStates:1+EQ	TeacherDFSM		DFA_R4_HS.fsm
1	39	39	3	155	0	0	0.012009	L*	addAllPrefixesToS	TeacherRL		DFA_R4_HS.fsm
1	29	29	3	80	0	0	0.006003	L*	addAllSuffixesAfterLastStateToE	TeacherRL		DFA_R4_HS.fsm
1	27	27	3	75	0	0	0.007005	L*	addSuffix1by1ToE	TeacherRL		DFA_R4_HS.fsm
1	31	31	3	83	0	0	0.007005	L*	addSuffixAfterLastStateToE	TeacherRL		DFA_R4_HS.fsm
1	32	32	3	86	0	0	0.008009	L*	addSuffixToE_binarySearch	TeacherRL		DFA_R4_HS.fsm
1	27	27	3	83	0	0	0.003002	DT		TeacherRL		DFA_R4_HS.fsm
1	42	42	1	119	0	0	0.005005	OP	AllGlobally	TeacherRL		DFA_R4_HS.fsm
1	42	42	1	119	0	0	0.006503	OP	OneGlobally	TeacherRL		DFA_R4_HS.fsm
1	41	41	1	117	0	0	0.005504	OP	OneLocally	TeacherRL		DFA_R4_HS.fsm
1	22	22	3	59	0	0	0.006004	TTT		TeacherRL		DFA_R4_HS.fsm
1	19	55	1	69	0	0	0.004003	Quotient		TeacherRL		DFA_R4_HS.fsm
1	37	37	1	136	0	0	0.006003	GoodSplit	maxDistLen:2+EQ	TeacherRL		DFA_R4_HS.fsm
1	13	28	1	51	0	0	0.006004	OTree	ExtraStates:1+EQ	TeacherRL		DFA_R4_HS.fsm
1	78	51	3	93	78	215	0.046031	L*	addAllPrefixesToS	TeacherBB:SPY_method(ExtraStates:2)	BlackBoxDFSM	DFA_R4_HS.fsm
1	65	38	3	78	65	173	0.021514	L*	addAllSuffixesAfterLastStateToE	TeacherBB:SPY_method(ExtraStates:2)	BlackBoxDFSM	DFA_R4_HS.fsm
