Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	3	4	2	2	0	5	43	0.000000	TS	H-method	0	Moore_R4_ADS.fsm
0	3	4	2	2	0	4	36	0.000000	TS	SPY-method	1	Moore_R4_ADS.fsm
0	3	4	2	2	0	5	43	0.000000	TS	SPYH-method	2	Moore_R4_ADS.fsm
0	3	4	2	2	1	10	106	0.000000	TS	H-method	0	Moore_R4_ADS.fsm
0	3	4	2	2	1	7	87	0.000000	TS	SPY-method	1	Moore_R4_ADS.fsm
0	3	4	2	2	1	7	89	0.000000	TS	SPYH-method	2	Moore_R4_ADS.fsm
0	3	4	2	2	2	20	252	0.000000	TS	H-method	0	Moore_R4_ADS.fsm
0	3	4	2	2	2	13	199	0.001000	TS	SPY-method	1	Moore_R4_ADS.fsm
0	3	4	2	2	2	15	227	0.000000	TS	SPYH-method	2	Moore_R4_ADS.fsm
0	3	4	2	2	0	6	42	0.000000	TS	H-method	0	Moore_R4_HS.fsm
0	3	4	2	2	0	6	52	0.000000	TS	SPY-method	1	Moore_R4_HS.fsm
0	3	4	2	2	0	5	41	0.000000	TS	SPYH-method	2	Moore_R4_HS.fsm
0	3	4	2	2	1	10	96	0.000000	TS	H-method	0	Moore_R4_HS.fsm
0	3	4	2	2	1	10	110	0.000000	TS	SPY-method	1	Moore_R4_HS.fsm
0	3	4	2	2	1	9	101	0.000000	TS	SPYH-method	2	Moore_R4_HS.fsm
0	3	4	2	2	2	20	230	0.000000	TS	H-method	0	Moore_R4_HS.fsm
0	3	4	2	2	2	16	248	0.000000	TS	SPY-method	1	Moore_R4_HS.fsm
0	3	4	2	2	2	19	235	0.000000	TS	SPYH-method	2	Moore_R4_HS.fsm
0	3	4	2	2	0	6	46	0.000000	TS	H-method	0	Moore_R4_PDS.fsm
0	3	4	2	2	0	5	47	0.000000	TS	SPY-method	1	Moore_R4_PDS.fsm
0	3	4	2	2	0	4	36	0.000000	TS	SPYH-method	2	Moore_R4_PDS.fsm
0	3	4	2	2	1	12	116	0.000000	TS	H-method	0	Moore_R4_PDS.fsm
0	3	4	2	2	1	11	105	0.000000	TS	SPY-method	1	Moore_R4_PDS.fsm
0	3	4	2	2	1	8	88	0.000000	TS	SPYH-method	2	Moore_R4_PDS.fsm
0	3	4	2	2	2	23	281	0.001001	TS	H-method	0	Moore_R4_PDS.fsm
0	3	4	2	2	2	16	240	0.000000	TS	SPY-method	1	Moore_R4_PDS.fsm
0	3	4	2	2	2	16	212	0.000000	TS	SPYH-method	2	Moore_R4_PDS.fsm
0	3	4	2	2	0	7	59	0.001000	TS	H-method	0	Moore_R4_SCSet.fsm
0	3	4	2	2	0	6	62	0.000000	TS	SPY-method	1	Moore_R4_SCSet.fsm
0	3	4	2	2	0	8	68	0.000000	TS	SPYH-method	2	Moore_R4_SCSet.fsm
0	3	4	2	2	1	13	127	0.000000	TS	H-method	0	Moore_R4_SCSet.fsm
0	3	4	2	2	1	10	116	0.000000	TS	SPY-method	1	Moore_R4_SCSet.fsm
